2017-01-17 09:32:18,484  - 用户:zhoutao	 账户操作	 动作:huankuan	 发生金额:2	;余额:4252.0
2017-01-17 09:32:23,460  - 用户:zhoutao	 账户操作	 动作:huankuan	 发生金额:3	;余额:4255.0
2017-01-17 09:32:23,460  - 用户:zhoutao	 账户操作	 动作:huankuan	 发生金额:3	;余额:4255.0
2017-01-17 09:32:26,588  - 用户:zhoutao	 账户操作	 动作:huankuan	 发生金额:2	;余额:4257.0
2017-01-17 09:32:26,588  - 用户:zhoutao	 账户操作	 动作:huankuan	 发生金额:2	;余额:4257.0
2017-01-17 09:32:26,588  - 用户:zhoutao	 账户操作	 动作:huankuan	 发生金额:2	;余额:4257.0
2017-01-17 09:33:24,076  - 用户:zhoutao	 账户操作	 动作:huankuan	 发生金额:2	;余额:4252.0
2017-01-17 09:33:27,931  - 用户:zhoutao	 账户操作	 动作:huankuan	 发生金额:2	;余额:4254.0
2017-01-17 09:33:27,931  - 用户:zhoutao	 账户操作	 动作:huankuan	 发生金额:2	;余额:4254.0
2017-01-17 10:32:55,821  - 用户:zhoutao	 账户操作	 动作:huankuan	 发生金额:2	;余额:4252.0
2017-01-17 10:32:59,590  - 用户:zhoutao	 账户操作	 动作:huankuan	 发生金额:2	;余额:4254.0
2017-01-17 10:43:42,401  - 用户:zhoutao	 账户操作	 动作:quxian	 发生金额:10.5	;余额:4243.5
2017-01-17 10:44:18,184  - 用户:zhoutao	 账户操作	 动作:quxian	 发生金额:12.6	;余额:4237.4
2017-01-17 10:44:35,431  - 用户:zhoutao	 账户操作	 动作:huankuan	 发生金额:100	;余额:4337.4
